variable,N,p0_1,p1,p99,p99_9,outside_p0_1_p99_9,outside_p1_p99
r_t_winsorized,955110,-21.8501341040516,-15.955246652341,16.1311937355217,22.4025538833321,1597,19104
spread_tilde,955110,-1.00338318978824,-0.888154231759808,1.21081448392995,1.64009714657136,1912,19104
ofi_depth_scaled,955110,-974.436779487179,-156.257354497354,147.332583333333,912.167819047603,1912,19104
abs_ofi_tilde,955110,-0.733343997551844,-0.651822081921532,3.96442127843979,12.1932966882115,1912,19104
rv_tilde,955110,-8.93577611446173,-2.66606289712375,2.13892830660503,3.12485795040294,1907,19104
