tod_bin,hour,relative_spread,spread_tilde,r_t_winsorized,event_level_ofi,ofi_depth_scaled,abs_ofi_tilde,depth,depth_tilde,RV_t,rv_tilde,number_of_trades,trade_volume
36300,10.0833333333333,0.000277731711509872,5.98428969801793e-17,-0.542412287779731,-5176.21013824885,-3.38257215186412,-4.60653021104551e-17,5105.74239631337,-1.72758206443208e-16,757.076698442131,-1.32322894747567e-16,54.5552995391705,15127.0062980031
36600,10.1666666666667,0.000251992436195735,-2.40482663651199e-16,0.0102810526248851,-698.061505376344,2.00541302702084,-1.42866602658081e-17,4892.20924731183,-1.41177392357173e-16,599.153023603396,8.76971732986503e-17,44.3788172043011,13124.2170967742
36900,10.25,0.000247313681451567,2.91499202315022e-16,-0.104613869261671,-1793.9652688172,-2.95438458074158,-2.52292213405074e-17,5132.68365591398,-2.01988963189867e-17,517.639096893185,3.67030181635489e-17,46.7612903225806,14335.4020430108
37200,10.3333333333333,0.000244179008470611,-1.60242189887564e-16,0.0810749279988157,-692.617849462366,-2.24322682325175,-3.0032726604309e-17,4591.92010752688,9.78906322787772e-18,585.668261888454,-7.66412023450915e-17,49.2839784946237,13807.3274193548
37500,10.4166666666667,0.00024149220084208,1.25849151888155e-16,0.295420812751909,1252.21623655914,0.944596216948175,-2.42040557250269e-18,4670.63978494624,-3.49668024523239e-17,545.008505693168,8.98086861747855e-17,45.8486021505376,12352.7782795699
37800,10.5,0.000240073160981619,-2.30568252662476e-16,0.0237882029080375,157.784516129032,1.13418425392608,-3.11638409224083e-17,5217.50666666667,-1.20441291348852e-16,431.568743147496,-2.49471888786067e-17,45.8694623655914,12396.2917204301
38100,10.5833333333333,0.000236269287846492,8.79165318801287e-17,0.0562118828241671,-696.037096774194,-0.503524373227813,1.06724664947838e-17,5300.73516129032,-8.48067136229797e-17,413.106024100987,-1.41702659164523e-17,43.9176344086022,12013.5429032258
38400,10.6666666666667,0.000238696533075131,-6.5765791856559e-17,0.308873190802115,2127.98634408602,0.249642823001799,-1.85753443689972e-17,5183.25913978495,1.2641023234146e-16,393.560664607882,9.70549805398121e-18,43.811935483871,11468.4690322581
38700,10.75,0.000236709576469664,1.8157220052465e-16,-0.134770097808687,-874.182258064516,-1.84719926105261,-1.55908738726931e-17,5013.97655913979,4.90885707232112e-17,366.802826353257,2.03540887847945e-18,40.774623655914,10480.1439784946
39000,10.8333333333333,0.000235768871329691,-2.55399047191727e-16,-0.318623725447351,-4038.46569892473,-1.5922691803808,-3.90607498556292e-17,5299.95688172043,-7.42297501840777e-17,331.621330943523,2.28729818836753e-17,36.4078494623656,10044.2503225806
39300,10.9166666666667,0.00023208958905683,-1.57544228558905e-16,0.0313204978609698,-1350.85408602151,-1.35990891157323,-1.51730480032105e-17,4749.68784946237,-5.32429536540667e-18,302.184883567113,2.11324759961119e-17,34.9448387096774,8827.31333333333
39600,11,0.000231746356021813,-2.30150426792994e-16,0.110737845066942,2690.37698924731,4.49592667672672,-4.30659092616694e-18,5090.68849462366,-4.1639332364436e-17,405.603298484648,3.4536292583232e-17,41.6160215053764,12661.6689247312
39900,11.0833333333333,0.000232999950538139,-8.52663220794106e-17,-0.0412730110047322,2064.29430107527,-1.55763169270742,1.7366633817994e-17,4899.50978494624,-4.29524993828098e-17,448.014654753631,8.88148574995162e-17,42.5659139784946,10202.5551612903
40200,11.1666666666667,0.000232745507307296,1.25729773068303e-16,-0.222797935208897,-849.145161290323,-2.32424388465753,4.89811297853443e-17,5098.91537634409,-6.07145755415642e-17,311.552382395885,-3.91562529115109e-17,44.4932258064516,10512.6801075269
40500,11.25,0.000240549199466108,-8.91550871360949e-17,-0.108557393079532,-1555.11849462366,-0.997050694755871,3.37185476672447e-17,5455.50440860215,2.11419889958188e-17,312.154460936551,-6.7031207346992e-17,42.5166666666667,10070.7778494624
40800,11.3333333333333,0.000238084466683314,-8.99280649946377e-17,-0.234158428658493,-3054.67075268817,-2.69427844743781,-7.38954894884916e-18,4876.41290322581,3.55151989060198e-17,291.865246840651,-4.75605218291035e-17,37.5231182795699,9343.0288172043
41100,11.4166666666667,0.00023929976410293,3.16443406723133e-17,0.0653820490765918,-770.78623655914,-0.138763949737536,3.08594249317853e-18,4726.17344086022,-4.29763751467803e-18,314.173123641939,5.08150869053232e-17,37.8855913978495,9443.48655913979
41400,11.5,0.000237220050302684,5.0950880312905e-17,-0.130807690050014,-1261.67172043011,-0.749640168842415,8.28190562724411e-18,4856.72075268817,-1.26929530207817e-16,310.678681286627,1.16812175225346e-17,35.0566666666667,8468.92440860215
41700,11.5833333333333,0.000235133118810646,-4.32031949044994e-17,0.0920969397339395,627.020752688172,1.58840264906096,-1.70831091208452e-17,4865.25860215054,-9.08920489649439e-18,281.140154057849,8.00255918879004e-17,33.7333333333333,7987.28344086022
42000,11.6666666666667,0.000231880848106887,7.14989596799594e-17,-0.12963849335717,-2218.65376344086,0.948004220264587,-1.08813794295251e-17,5281.09182795699,1.28666492036666e-16,287.789783717867,2.33266213991135e-17,36.7836559139785,9110.63419354839
42300,11.75,0.000233772477190162,1.53521162329887e-17,0.103510062330496,179.036559139785,2.11629406669427,-1.96497537476668e-17,5276.18784946237,-8.14879824310895e-17,282.392829185761,5.84508546701175e-17,32.8997849462366,8350.39247311828
42600,11.8333333333333,0.000231870382135477,-1.47044861352907e-16,-0.0605137253494903,806.07623655914,1.01663443936622,3.34738210865477e-17,4838.46924731183,1.92629663713457e-16,238.208374575545,1.1430522000845e-17,30.3276344086022,7456.87709677419
42900,11.9166666666667,0.000231547317403336,-3.86459084566429e-17,-0.108180655864123,482.772365591398,-0.384481102871151,9.38914418137296e-18,5519.61806451613,1.26565424807268e-16,236.741502410496,3.08594249317853e-17,29.9143010752688,7929.94913978495
43200,12,0.000230819673570745,2.24909696601483e-17,-0.0287970093515008,-1105.85903225806,-0.102596196107716,1.4295613677297e-17,5086.3876344086,1.39879147691281e-16,284.981305330381,2.26103484800005e-17,39.181935483871,10289.0656989247
43500,12.0833333333333,0.000232769078822527,-6.38020102699909e-17,0.238156083241336,590.746666666667,0.652389477376952,-1.06247149668429e-17,4628.11774193548,4.12811959048795e-17,308.356626953059,1.84917791951007e-17,37.9897849462366,9663.9464516129
43800,12.1666666666667,0.000236108251216191,-2.5362030277593e-16,0.0827602749594281,1229.83677419355,1.19599976457532,1.14484288238229e-17,4929.01967741936,-1.30242292458715e-17,269.924221907814,-2.19388426183321e-17,38.4512903225806,9687.97634408602
44100,12.25,0.000239815510316697,1.57150278453393e-16,0.0908474663115455,803.702903225807,1.64384793643729,-3.24113495898634e-18,5834.37311827957,8.67167747406144e-17,291.232248979375,5.23356746231902e-17,36.7110752688172,7975.33290322581
