variable,depth_tilde,rv_tilde,abs_ofi_tilde,number_of_trades,trade_volume
depth_tilde,1,-0.12209837016491,0.0489293805648648,0.00757617099210872,0.0165497122770893
rv_tilde,-0.12209837016491,1,0.153672660777369,0.157157348225484,0.108048689409486
abs_ofi_tilde,0.0489293805648648,0.153672660777369,1,0.31037359281173,0.258275346031962
number_of_trades,0.00757617099210872,0.157157348225484,0.31037359281173,1,0.514580379566051
trade_volume,0.0165497122770893,0.108048689409486,0.258275346031962,0.514580379566051,1
