state,p_ii,expected_duration_buckets,expected_duration_minutes
Calm,0.643731970941709,2.80687549383328,1.40343774691664
Normal,0.767017058312025,4.29215972961343,2.14607986480671
Stressed,0.555023158301358,2.24730796367431,1.12365398183715
