variable,lag,mean_acf,min_acf,max_acf
price_impact_residual,0,1,1,1
price_impact_residual,1,-0.0223959918805647,-0.201329112671895,0.145057598992306
price_impact_residual,2,-0.00789600493311129,-0.154067369931517,0.16888454379376
price_impact_residual,3,-0.0157191179506297,-0.129778797202266,0.132439223429189
price_impact_residual,4,-0.00496851149249949,-0.106277139853838,0.131693926405971
price_impact_residual,5,-0.00961164827332217,-0.10847109715144,0.115382772873896
price_impact_residual,6,-0.00216953562673958,-0.120852631048678,0.120140000199171
price_impact_residual,7,-0.0130418254841977,-0.146845547644428,0.100550147705801
price_impact_residual,8,0.00156382625689355,-0.159935780683129,0.160046447187026
price_impact_residual,9,-0.00747538551099983,-0.116714997737142,0.105782504466383
price_impact_residual,10,0.00273739457432841,-0.123736504067346,0.133739086487286
price_impact_residual,11,-0.0120558727582507,-0.127204388012005,0.103338307419232
price_impact_residual,12,0.000327809430762783,-0.101616117178098,0.115135217777657
price_impact_residual,13,-0.00734956373353612,-0.117272409845791,0.115586334592263
price_impact_residual,14,-0.00641397362844783,-0.114690235381775,0.0928510083664046
price_impact_residual,15,-0.00723253624004646,-0.118796997247987,0.100326861434377
price_impact_residual,16,3.15774835461076e-06,-0.141704440975285,0.131639512913071
price_impact_residual,17,-0.0037666447699398,-0.099690403561911,0.116816921767652
price_impact_residual,18,0.000844854406479493,-0.0994896949773337,0.104883025988549
price_impact_residual,19,-0.00879698461233726,-0.120391175562124,0.108672685215526
price_impact_residual,20,0.0036612504509439,-0.11236402725905,0.13830709219249
