variable,N,mean,sd,skewness,kurtosis,excess_kurtosis,jarque_bera_p_value
r_t_winsorized,955110,-0.0130941504730094,5.11358581012508,0.0452365976816593,6.99574644739771,3.99574644739771,0
spread_tilde,955110,-1.46422387115824e-17,0.509702351359773,0.501859204773922,2.30816933514901,-0.691830664850987,0
