decoded_state,state_label,kurtosis_r,kurtosis_s,n
2,Normal,3.5631485608029,2.2152256646268,299454
1,Calm,4.21659148930551,2.33667086251334,390993
3,Stressed,4.5802470131565,3.20443473620844,264663
