covariate,entry_to_stressed_AME,exit_to_calm_AME,entry_ci_lower_025,entry_ci_upper_975,exit_ci_lower_025,exit_ci_upper_975,successful_replications
abs_ofi_tilde,-0.00138325244430314,-0.0339373470746456,-0.00575031750565648,0.00285352410373209,-0.0504278667030144,-0.0223352860909211,200
close_dummy,-0.0218232227346696,-0.0253556517586854,-0.0342965486897485,-0.0112019357846885,-0.0434291244088231,-0.00566790587095745,200
depth_tilde,-0.0503813444162621,0.0422663900939172,-0.0529299007882,-0.0479007800522018,0.039468474795502,0.0457920117850017,200
open_dummy,-0.0351961852726783,-0.00200419731393258,-0.0548206221138459,-0.0174690605340069,-0.0238077436055098,0.0237757238829567,200
rv_tilde,-0.019557011776734,-0.0530757924983882,-0.0260082370055429,-0.0136017973452592,-0.0623188043713926,-0.0438383865938303,200
