replication,covariate,entry_to_stressed_AME,exit_to_calm_AME,convergence_code
1,depth_tilde,-0.0517523368838525,0.0415708562216205,0
1,rv_tilde,-0.0112918810922696,-0.0471369590386102,0
1,abs_ofi_tilde,0.000266095056242551,-0.0292259926406483,0
1,open_dummy,-0.0400179764803632,-0.0184377598551356,0
1,close_dummy,-0.0216662205472967,-0.0355680011862263,0
2,depth_tilde,-0.0486895106957551,0.0433968105293751,0
2,rv_tilde,-0.0219106744246056,-0.0525707369596373,0
2,abs_ofi_tilde,0.000101642101860678,-0.0345778708515798,0
2,open_dummy,-0.0231510425361454,0.00376449890046843,0
2,close_dummy,-0.0240660530394403,-0.0371879971072269,0
3,depth_tilde,-0.0511464277559186,0.042041709277105,0
3,rv_tilde,-0.0217752847555109,-0.0614458107315546,0
3,abs_ofi_tilde,-0.0025605327060724,-0.039134898618,0
3,open_dummy,-0.0432522846742658,-0.00127832459788351,0
3,close_dummy,-0.0266487999987282,-0.0257941326024379,0
4,depth_tilde,-0.0507344847193918,0.0407287191368191,0
4,rv_tilde,-0.0242900121273063,-0.0579594385115835,0
4,abs_ofi_tilde,-0.00235458099948113,-0.0340938507823788,0
4,open_dummy,-0.0347931727045075,0.0150046038370737,0
4,close_dummy,-0.0252683370351964,-0.0223896634751098,0
5,depth_tilde,-0.0502506892965126,0.0442516267409069,0
5,rv_tilde,-0.0169048053357765,-0.0506072088289084,0
5,abs_ofi_tilde,-0.0020044226508129,-0.0438625592035063,0
5,open_dummy,-0.0391387088310245,-0.012006813621902,0
5,close_dummy,-0.01869296793168,-0.0332754931633597,0
6,depth_tilde,-0.0524775321091722,0.0433105672086018,0
6,rv_tilde,-0.0166026988737867,-0.0473990985523093,0
6,abs_ofi_tilde,0.00232873055765603,-0.0396193672694798,0
6,open_dummy,-0.0466103617065675,-0.00583308316825966,0
6,close_dummy,-0.032676917121079,-0.0346118039375959,0
7,depth_tilde,-0.0496383628897016,0.0421195873583933,0
7,rv_tilde,-0.0211194331436063,-0.0567457189812664,0
7,abs_ofi_tilde,-0.00278666983187093,-0.0312009551072547,0
7,open_dummy,-0.0280740311159616,-0.00940641906476765,0
7,close_dummy,-0.0204799746767914,-0.0140351568391009,0
8,depth_tilde,-0.0519512582472302,0.0408322131408573,0
8,rv_tilde,-0.021860278512889,-0.0564804464665367,0
8,abs_ofi_tilde,-0.000560478780613977,-0.0367277318599589,0
8,open_dummy,-0.0357071935621612,0.00443234746867756,0
8,close_dummy,-0.030355618048045,-0.00999149480456022,0
9,depth_tilde,-0.049042729156019,0.0435961419605121,0
9,rv_tilde,-0.0172556868707236,-0.0589942071875335,0
9,abs_ofi_tilde,-0.000847543672002438,-0.038734790349169,0
9,open_dummy,-0.0248122487558507,-0.0165632296590103,0
9,close_dummy,-0.0180436838314074,-0.0427756153127224,0
10,depth_tilde,-0.0494284682457959,0.0440881824825645,0
10,rv_tilde,-0.0165372389526385,-0.053793638955899,0
10,abs_ofi_tilde,-0.00141159265026946,-0.0416714080074121,0
10,open_dummy,-0.0346061784177281,-0.000606990054831414,0
10,close_dummy,-0.0218400199612837,-0.022622993572925,0
11,depth_tilde,-0.0496680546680046,0.044953115744189,0
11,rv_tilde,-0.0168116960254064,-0.0527174401092596,0
11,abs_ofi_tilde,-0.000754985186300379,-0.0522102213378069,0
11,open_dummy,-0.06036130554528,0.00125086144438811,0
11,close_dummy,-0.0214771420617852,-0.0172107041655337,0
12,depth_tilde,-0.0507217626316836,0.0420732074577453,0
12,rv_tilde,-0.0171299266848917,-0.0503480328161745,0
12,abs_ofi_tilde,-0.00273167658053645,-0.0342672908622607,0
12,open_dummy,-0.0418845533674943,-0.0134104718536942,0
12,close_dummy,-0.0329660281583898,-0.005646518510644,0
13,depth_tilde,-0.0510272608232353,0.0410467437312698,0
13,rv_tilde,-0.0166636824832544,-0.0505168272303613,0
13,abs_ofi_tilde,0.00409805840289664,-0.0267137269088791,0
13,open_dummy,-0.0397541033800083,-0.00154344623654027,0
13,close_dummy,-0.0153458005519135,-0.0342449359737456,0
14,depth_tilde,-0.0490753791742156,0.0420470463192752,0
14,rv_tilde,-0.0210814913602572,-0.051895111662188,0
14,abs_ofi_tilde,-0.00372067569877684,-0.0373288249236137,0
14,open_dummy,-0.0491734800384178,-0.0080318546008425,0
14,close_dummy,-0.0133074933956963,-0.0227917270380463,0
15,depth_tilde,-0.0487110658688288,0.0413813063868931,0
15,rv_tilde,-0.0228885397967133,-0.0605269212600283,0
15,abs_ofi_tilde,-0.00221900303793886,-0.0250501589297912,0
15,open_dummy,-0.0204345256547499,-0.00722860291511762,0
15,close_dummy,-0.0232920801481743,-0.0211131783135225,0
16,depth_tilde,-0.051880050284694,0.0385548867267889,0
16,rv_tilde,-0.0213770683644552,-0.0483040666842495,0
16,abs_ofi_tilde,-0.00447616501314025,-0.0319594495455594,0
16,open_dummy,-0.0335387265361925,-0.0103635304325228,0
16,close_dummy,-0.0275651318769252,-0.0124752718500678,0
17,depth_tilde,-0.0505121544790803,0.0432873884731114,0
